1,2,77,-510,862,438,transport
1,3,862,438,-518,238,transport
1,4,438,-518,238,186,transition point 1
1,5,238,186,-106,154,user auth
1,6,186,-106,154,-122,user auth
1,7,-106,154,-122,170,user auth
1,8,154,-122,170,-122,user auth
1,9,-122,170,-122,170,user auth
1,10,170,-122,170,-122,user auth
1,11,-122,170,-122,170,user auth
1,12,170,-122,170,-122,user auth
1,13,-122,170,-122,170,user auth
1,14,170,-122,170,-122,user auth
1,15,-122,170,-122,170,user auth
1,16,170,-122,170,-122,user auth
1,17,-122,170,-122,170,user auth
1,18,170,-122,170,-122,user auth
1,19,-122,170,-122,170,user auth
1,20,170,-122,170,-122,user auth
1,21,-122,170,-122,170,user auth
1,22,170,-122,170,-122,user auth
1,23,-122,170,-122,170,user auth
1,24,170,-122,170,-122,user auth
1,25,-122,170,-122,234,user auth
2,2,77,-510,862,438,transport
2,3,862,438,-518,238,transport
2,4,438,-518,238,186,transition point 1
2,5,238,186,-106,154,user auth
2,6,186,-106,154,-122,user auth
2,7,-106,154,-122,170,user auth
2,8,154,-122,170,-122,user auth
2,9,-122,170,-122,170,user auth
2,10,170,-122,170,-122,user auth
2,11,-122,170,-122,170,user auth
2,12,170,-122,170,-122,user auth
2,13,-122,170,-122,170,user auth
3,2,77,-510,862,438,transport
3,3,862,438,-518,238,transport
3,4,438,-518,238,186,transition point 1
4,2,77,-510,862,438,transport
4,3,862,438,-518,238,transport
4,4,438,-518,238,186,transition point 1
4,5,238,186,-106,154,user auth
4,6,186,-106,154,-122,user auth
4,7,-106,154,-122,170,user auth
4,8,154,-122,170,-122,user auth
4,9,-122,170,-122,170,user auth
4,10,170,-122,170,-90,user auth
4,11,-122,170,-90,122,user auth
4,12,170,-90,122,-106,user auth
4,13,-90,122,-106,250,user auth
4,14,122,-106,250,-90,user auth
4,15,-106,250,-90,90,user auth
4,16,250,-90,90,106,user auth
5,2,77,-510,862,438,transport
5,3,862,438,-518,238,transport
5,4,438,-518,238,186,transition point 1
5,5,238,186,-106,154,user auth
5,6,186,-106,154,-122,user auth
5,7,-106,154,-122,170,user auth
5,8,154,-122,170,-122,user auth
5,9,-122,170,-122,170,user auth
5,10,170,-122,170,-122,user auth
5,11,-122,170,-122,170,user auth
