862.0,438.0,-518.0,-518.0
-518.0,370.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
77.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,-518.0
-518.0,370.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
77.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
77.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
77.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
77.0,862.0,-478.0,-478.0
-478.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-86.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,-518.0
-518.0,370.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,-122.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,-106.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
-86.0,885.0,-478.0,-478.0
-86.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-86.0,77.0,-478.0,862.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
-86.0,77.0,-478.0,862.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
-86.0,77.0,-478.0,862.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
77.0,862.0,-478.0,438.0
-478.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
-86.0,77.0,-478.0,862.0
862.0,438.0,-518.0,238.0
238.0,186.0,-106.0,154.0
-106.0,154.0,-122.0,170.0
-122.0,170.0,-122.0,170.0
