@relation subflow_dataset_clustered

@attribute Instance_number numeric
@attribute flowid numeric
@attribute ppid numeric
@attribute subflow1 numeric
@attribute subflow2 numeric
@attribute subflow3 numeric
@attribute subflow4 numeric
@attribute subprotocol {none,'transition point 1','transition point 2'}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56,cluster57,cluster58,cluster59,cluster60,cluster61,cluster62,cluster63,cluster64,cluster65,cluster66,cluster67,cluster68,cluster69,cluster70,cluster71,cluster72,cluster73,cluster74,cluster75,cluster76,cluster77,cluster78,cluster79,cluster80,cluster81,cluster82,cluster83,cluster84,cluster85,cluster86,cluster87,cluster88,cluster89,cluster90,cluster91,cluster92,cluster93,cluster94,cluster95,cluster96,cluster97,cluster98,cluster99,cluster100,cluster101,cluster102,cluster103,cluster104,cluster105,cluster106,cluster107,cluster108,cluster109,cluster110,cluster111,cluster112,cluster113,cluster114,cluster115,cluster116,cluster117,cluster118,cluster119,cluster120,cluster121,cluster122,cluster123,cluster124,cluster125,cluster126,cluster127,cluster128,cluster129,cluster130,cluster131,cluster132,cluster133,cluster134,cluster135,cluster136,cluster137,cluster138,cluster139,cluster140,cluster141,cluster142,cluster143,cluster144,cluster145,cluster146,cluster147,cluster148,cluster149,cluster150,cluster151,cluster152,cluster153,cluster154,cluster155,cluster156,cluster157,cluster158,cluster159,cluster160,cluster161,cluster162,cluster163,cluster164,cluster165,cluster166,cluster167,cluster168,cluster169,cluster170,cluster171,cluster172,cluster173,cluster174,cluster175,cluster176,cluster177,cluster178,cluster179,cluster180,cluster181,cluster182,cluster183,cluster184,cluster185,cluster186,cluster187,cluster188,cluster189,cluster190,cluster191,cluster192}

@data
91,5,39,-122,170,-122,170,none,cluster192
92,5,40,170,-122,170,-122,none,cluster1
93,5,41,-122,170,-122,170,none,cluster192
94,5,42,170,-122,170,-122,none,cluster1
95,5,43,-122,170,-122,170,none,cluster192
96,5,44,170,-122,170,-122,none,cluster1
97,5,45,-122,170,-122,170,none,cluster192
98,5,46,170,-122,170,-122,none,cluster1
99,5,47,-122,170,-122,170,none,cluster192
100,5,48,170,-122,170,-122,none,cluster1
101,5,49,-122,170,-122,-122,'transition point 1',cluster28
102,6,2,77,-510,862,438,none,cluster24
103,6,3,862,438,-518,238,none,cluster23
104,6,4,438,-518,238,186,none,cluster22
105,6,5,238,186,-106,154,none,cluster72
106,6,6,186,-106,154,-122,none,cluster63
107,6,7,-106,154,-122,170,none,cluster44
108,6,8,154,-122,170,-122,none,cluster9
109,6,9,-122,170,-122,170,none,cluster192
110,6,10,170,-122,170,-122,none,cluster1
111,6,11,-122,170,-122,-122,none,cluster28
112,6,12,-122,-122,170,-122,none,cluster8
113,6,13,-122,170,-122,-122,none,cluster28
114,6,14,-122,-122,170,-122,none,cluster8
115,6,15,-122,170,-122,170,none,cluster192
116,6,16,170,-122,170,-122,none,cluster1
117,6,17,-122,170,-122,234,none,cluster29
118,6,18,170,-122,234,-122,none,cluster81
119,6,19,-122,234,-122,-122,none,cluster104
120,6,20,-122,-122,170,-122,none,cluster8
121,6,21,-122,170,-122,-122,none,cluster28
122,6,22,-122,-122,170,-122,none,cluster8
123,6,23,-122,170,-122,170,none,cluster192
124,6,24,170,-122,170,-122,none,cluster1
125,6,25,-122,170,-122,170,none,cluster192
126,6,26,170,-122,170,-122,none,cluster1
127,6,27,-122,170,-122,170,none,cluster192
128,6,28,170,-122,170,-122,none,cluster1
129,6,29,-122,170,-122,170,none,cluster192
130,6,30,170,-122,170,-122,none,cluster1
131,6,31,-122,170,-122,170,none,cluster192
132,6,32,170,-122,170,-122,none,cluster1
133,6,33,-122,170,-122,170,none,cluster192
134,6,34,170,-122,170,-122,none,cluster1
135,6,35,-122,170,-122,234,none,cluster29
136,6,36,170,-122,234,-122,none,cluster81
137,6,37,-122,234,-122,170,none,cluster43
138,6,38,234,-122,170,-122,none,cluster10
139,6,39,-122,170,-122,234,none,cluster29
140,6,40,170,-122,234,-122,none,cluster81
141,6,41,-122,234,-122,170,none,cluster43
142,6,42,234,-122,170,-122,none,cluster10
143,6,43,-122,170,-122,170,none,cluster192
144,6,44,170,-122,170,-122,none,cluster1
145,6,45,-122,170,-122,170,none,cluster192
146,6,46,170,-122,170,-122,none,cluster1
147,6,47,-122,170,-122,170,none,cluster192
148,6,48,170,-122,170,-122,none,cluster1
149,6,49,-122,170,-122,234,none,cluster29
150,6,50,170,-122,234,-122,none,cluster81
151,7,2,-86,77,-86,862,none,cluster165
152,7,3,77,-86,862,-478,none,cluster165
153,7,4,-86,862,-478,438,none,cluster165
154,7,5,862,-478,438,-518,none,cluster102
155,7,6,-478,438,-518,238,none,cluster100
156,7,7,438,-518,238,186,none,cluster22
157,7,8,238,186,-106,154,none,cluster72
158,7,9,186,-106,154,-122,none,cluster63
159,7,10,-106,154,-122,170,none,cluster44
160,7,11,154,-122,170,-122,none,cluster9
161,7,12,-122,170,-122,170,none,cluster192
162,7,13,170,-122,170,-122,none,cluster1
