@relation subflow_dataset_clustered

@attribute Instance_number numeric
@attribute flowid numeric
@attribute ppid numeric
@attribute subflow1 numeric
@attribute subflow2 numeric
@attribute subflow3 numeric
@attribute subflow4 numeric
@attribute subprotocol {none,'transition point 1','transition point 2'}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56,cluster57,cluster58,cluster59,cluster60,cluster61,cluster62,cluster63,cluster64,cluster65,cluster66,cluster67,cluster68,cluster69,cluster70,cluster71,cluster72,cluster73,cluster74,cluster75,cluster76,cluster77,cluster78,cluster79,cluster80,cluster81,cluster82,cluster83,cluster84,cluster85,cluster86,cluster87,cluster88,cluster89,cluster90,cluster91,cluster92,cluster93,cluster94,cluster95,cluster96,cluster97,cluster98,cluster99,cluster100,cluster101,cluster102,cluster103,cluster104,cluster105,cluster106,cluster107,cluster108,cluster109,cluster110,cluster111,cluster112,cluster113,cluster114,cluster115,cluster116,cluster117,cluster118,cluster119,cluster120,cluster121,cluster122,cluster123,cluster124,cluster125,cluster126,cluster127,cluster128,cluster129,cluster130,cluster131,cluster132,cluster133,cluster134,cluster135,cluster136,cluster137,cluster138,cluster139,cluster140,cluster141,cluster142,cluster143,cluster144,cluster145,cluster146,cluster147,cluster148,cluster149,cluster150,cluster151,cluster152,cluster153,cluster154,cluster155,cluster156,cluster157,cluster158,cluster159,cluster160,cluster161,cluster162,cluster163,cluster164,cluster165,cluster166,cluster167,cluster168,cluster169,cluster170,cluster171,cluster172,cluster173,cluster174,cluster175,cluster176,cluster177,cluster178,cluster179,cluster180,cluster181,cluster182,cluster183,cluster184,cluster185,cluster186,cluster187,cluster188,cluster189,cluster190,cluster191,cluster192}

@data
2034,55,22,170,-122,170,-122,none,cluster1
2035,55,23,-122,170,-122,170,none,cluster192
2036,55,24,170,-122,170,-122,none,cluster1
2037,55,25,-122,170,-122,234,none,cluster29
2038,55,26,170,-122,234,-122,none,cluster81
2039,55,27,-122,234,-122,170,none,cluster43
2040,55,28,234,-122,170,-122,none,cluster10
2041,55,29,-122,170,-122,170,none,cluster192
2042,55,30,170,-122,170,-122,none,cluster1
2043,55,31,-122,170,-122,170,none,cluster192
2044,55,32,170,-122,170,-122,none,cluster1
2045,55,33,-122,170,-122,170,none,cluster192
2046,55,34,170,-122,170,-122,none,cluster1
2047,55,35,-122,170,-122,170,none,cluster192
2048,55,36,170,-122,170,-122,none,cluster1
2049,55,37,-122,170,-122,170,none,cluster192
2050,55,38,170,-122,170,-122,none,cluster1
2051,55,39,-122,170,-122,-122,none,cluster28
2052,55,40,-122,-122,170,-122,none,cluster8
2053,55,41,-122,170,-122,170,none,cluster192
2054,55,42,170,-122,170,170,none,cluster96
2055,55,43,170,170,-122,234,none,cluster161
2056,55,44,170,-122,234,-122,none,cluster81
2057,55,45,-122,234,-122,170,none,cluster43
2058,55,46,234,-122,170,-122,none,cluster10
2059,55,47,-122,170,-122,170,none,cluster192
2060,55,48,170,-122,170,-122,none,cluster1
2061,55,49,-122,170,-122,-122,'transition point 1',cluster28
2062,56,2,77,-510,862,438,none,cluster24
2063,56,3,862,438,-518,238,none,cluster23
2064,56,4,438,-518,238,186,none,cluster22
2065,56,5,238,186,-106,154,none,cluster72
2066,56,6,186,-106,154,-122,none,cluster63
2067,56,7,-106,154,-122,170,none,cluster44
2068,56,8,154,-122,170,-122,none,cluster9
2069,56,9,-122,170,-122,170,none,cluster192
2070,56,10,170,-122,170,-122,none,cluster1
2071,56,11,-122,170,-122,234,none,cluster29
2072,56,12,170,-122,234,-122,none,cluster81
2073,56,13,-122,234,-122,170,none,cluster43
2074,56,14,234,-122,170,-122,none,cluster10
2075,56,15,-122,170,-122,170,none,cluster192
2076,56,16,170,-122,170,-122,none,cluster1
2077,56,17,-122,170,-122,170,none,cluster192
2078,56,18,170,-122,170,-122,none,cluster1
2079,56,19,-122,170,-122,170,none,cluster192
2080,56,20,170,-122,170,-122,none,cluster1
2081,56,21,-122,170,-122,170,none,cluster192
2082,56,22,170,-122,170,-122,none,cluster1
2083,56,23,-122,170,-122,170,none,cluster192
2084,56,24,170,-122,170,-122,none,cluster1
2085,56,25,-122,170,-122,170,none,cluster192
2086,56,26,170,-122,170,-122,none,cluster1
2087,56,27,-122,170,-122,170,none,cluster192
2088,56,28,170,-122,170,-122,none,cluster1
2089,56,29,-122,170,-122,170,none,cluster192
2090,56,30,170,-122,170,-122,none,cluster1
2091,56,31,-122,170,-122,170,none,cluster192
2092,56,32,170,-122,170,-122,none,cluster1
2093,56,33,-122,170,-122,170,none,cluster192
2094,56,34,170,-122,170,-122,none,cluster1
2095,56,35,-122,170,-122,170,none,cluster192
2096,56,36,170,-122,170,-122,none,cluster1
2097,56,37,-122,170,-122,170,none,cluster192
2098,56,38,170,-122,170,-122,none,cluster1
2099,56,39,-122,170,-122,170,none,cluster192
2100,56,40,170,-122,170,-122,none,cluster1
2101,56,41,-122,170,-122,170,none,cluster192
2102,56,42,170,-122,170,-122,none,cluster1
2103,56,43,-122,170,-122,170,none,cluster192
2104,56,44,170,-122,170,-122,none,cluster1
2105,56,45,-122,170,-122,170,none,cluster192
2106,56,46,170,-122,170,-122,none,cluster1
2107,56,47,-122,170,-122,234,none,cluster29
2108,56,48,170,-122,234,-122,none,cluster81
2109,57,2,77,-510,862,438,none,cluster24
2110,57,3,862,438,-518,238,none,cluster23
2111,57,4,438,-518,238,186,none,cluster22
2112,57,5,238,186,-106,154,none,cluster72
2113,57,6,186,-106,154,-122,none,cluster63
2114,57,7,-106,154,-122,170,none,cluster44
2115,57,8,154,-122,170,-122,none,cluster9
2116,57,9,-122,170,-122,170,none,cluster192
2117,57,10,170,-122,170,-122,none,cluster1
2118,57,11,-122,170,-122,170,none,cluster192
2119,57,12,170,-122,170,-122,none,cluster1
2120,57,13,-122,170,-122,170,none,cluster192
2121,57,14,170,-122,170,-122,none,cluster1
2122,57,15,-122,170,-122,170,none,cluster192
2123,57,16,170,-122,170,-122,none,cluster1
2124,57,17,-122,170,-122,170,none,cluster192
2125,57,18,170,-122,170,-122,none,cluster1
2126,57,19,-122,170,-122,170,none,cluster192
2127,57,20,170,-122,170,-122,none,cluster1
2128,57,21,-122,170,-122,170,none,cluster192
2129,57,22,170,-122,170,170,none,cluster96
2130,57,23,170,170,-122,170,none,cluster61
2131,57,24,170,-122,170,-122,none,cluster1
2132,57,25,-122,170,-122,170,none,cluster192
2133,57,26,170,-122,170,-122,none,cluster1
2134,57,27,-122,170,-122,170,none,cluster192
2135,57,28,170,-122,170,-122,none,cluster1
2136,57,29,-122,170,-122,170,none,cluster192
2137,57,30,170,-122,170,-122,none,cluster1
2138,57,31,-122,170,-122,170,none,cluster192
2139,58,2,77,-510,862,438,none,cluster24
2140,58,3,862,438,-518,238,none,cluster23
2141,58,4,438,-518,238,186,none,cluster22
2142,58,5,238,186,-106,154,none,cluster72
2143,58,6,186,-106,154,-122,none,cluster63
2144,58,7,-106,154,-122,170,none,cluster44
2145,58,8,154,-122,170,-122,none,cluster9
2146,58,9,-122,170,-122,170,none,cluster192
2147,58,10,170,-122,170,-122,none,cluster1
2148,58,11,-122,170,-122,170,none,cluster192
2149,58,12,170,-122,170,-122,none,cluster1
2150,58,13,-122,170,-122,170,none,cluster192
2151,59,2,77,-510,862,438,none,cluster24
2152,59,3,862,438,-518,238,none,cluster23
2153,59,4,438,-518,238,186,none,cluster22
2154,59,5,238,186,-106,154,none,cluster72
2155,59,6,186,-106,154,-122,none,cluster63
2156,59,7,-106,154,-122,170,none,cluster44
2157,59,8,154,-122,170,-122,none,cluster9
2158,60,2,-98,86,-490,218,none,cluster5
2159,60,3,86,-490,218,210,none,cluster6
2160,60,4,218,210,-530,82,none,cluster4
2161,60,5,210,-530,82,118,none,cluster3
2162,60,6,82,118,-118,166,none,cluster188
2163,60,7,118,-118,166,-134,none,cluster93
2164,60,8,-118,166,-134,118,none,cluster95
2165,61,2,-98,86,-490,218,none,cluster5
2166,61,3,86,-490,218,210,none,cluster6
2167,61,4,218,210,-530,82,none,cluster4
2168,61,5,210,-530,82,118,none,cluster3
2169,61,6,82,118,-118,150,none,cluster191
2170,61,7,118,-118,150,-134,none,cluster25
2171,61,8,-118,150,-134,118,none,cluster190
2172,62,2,-98,86,-490,218,none,cluster5
2173,62,3,86,-490,218,210,none,cluster6
2174,62,4,218,210,-530,82,none,cluster4
2175,62,5,210,-530,82,118,none,cluster3
2176,62,6,82,118,-118,150,none,cluster191
2177,62,7,118,-118,150,-134,none,cluster25
2178,62,8,-118,150,-134,118,none,cluster190
2179,63,2,-98,86,-490,218,none,cluster5
2180,63,3,86,-490,218,210,none,cluster6
2181,63,4,218,210,-530,82,none,cluster4
2182,63,5,210,-530,82,118,none,cluster3
2183,63,6,82,118,-118,150,none,cluster191
2184,63,7,118,-118,150,-134,none,cluster25
2185,63,8,-118,150,-134,118,none,cluster190
2186,64,2,-98,86,-490,218,none,cluster5
2187,64,3,86,-490,218,210,none,cluster6
2188,64,4,218,210,-530,82,none,cluster4
2189,64,5,210,-530,82,118,none,cluster3
2190,64,6,82,118,-118,150,none,cluster191
2191,64,7,118,-118,150,-134,none,cluster25
2192,64,8,-118,150,-134,118,none,cluster190
2193,65,2,-98,86,-490,218,none,cluster5
2194,65,3,86,-490,218,210,none,cluster6
2195,65,4,218,210,-530,82,none,cluster4
2196,65,5,210,-530,82,118,none,cluster3
2197,65,6,82,118,-118,150,none,cluster191
2198,65,7,118,-118,150,-134,none,cluster25
2199,65,8,-118,150,-134,118,none,cluster190
2200,66,2,-98,86,-490,218,none,cluster5
2201,66,3,86,-490,218,210,none,cluster6
2202,66,4,218,210,-530,82,none,cluster4
2203,66,5,210,-530,82,118,none,cluster3
2204,66,6,82,118,-118,150,none,cluster191
2205,66,7,118,-118,150,-134,none,cluster25
2206,66,8,-118,150,-134,118,none,cluster190
2207,67,2,-98,86,-490,218,none,cluster5
2208,67,3,86,-490,218,210,none,cluster6
2209,67,4,218,210,-530,82,none,cluster4
2210,67,5,210,-530,82,118,none,cluster3
2211,67,6,82,118,-118,150,none,cluster191
2212,67,7,118,-118,150,-134,none,cluster25
2213,67,8,-118,150,-134,118,none,cluster190
2214,68,2,-98,86,-490,218,none,cluster5
2215,68,3,86,-490,218,210,none,cluster6
2216,68,4,218,210,-530,82,none,cluster4
2217,68,5,210,-530,82,118,none,cluster3
2218,68,6,82,118,-118,150,none,cluster191
2219,68,7,118,-118,150,-134,none,cluster25
2220,68,8,-118,150,-134,118,none,cluster190
2221,69,2,-98,86,-490,218,none,cluster5
2222,69,3,86,-490,218,210,none,cluster6
2223,69,4,218,210,-530,82,none,cluster4
2224,69,5,210,-530,82,118,none,cluster3
2225,69,6,82,118,-118,150,none,cluster191
2226,69,7,118,-118,150,-134,none,cluster25
2227,69,8,-118,150,-134,118,none,cluster190
2228,70,2,-98,86,-490,218,none,cluster5
2229,70,3,86,-490,218,210,none,cluster6
2230,70,4,218,210,-530,82,none,cluster4
2231,70,5,210,-530,82,118,none,cluster3
2232,70,6,82,118,-118,150,none,cluster191
2233,70,7,118,-118,150,-134,none,cluster25
2234,70,8,-118,150,-134,118,none,cluster190
2235,71,2,-98,86,-490,218,none,cluster5
2236,71,3,86,-490,218,210,none,cluster6
2237,71,4,218,210,-530,82,none,cluster4
2238,71,5,210,-530,82,118,none,cluster3
2239,71,6,82,118,-118,150,none,cluster191
2240,71,7,118,-118,150,-134,none,cluster25
2241,71,8,-118,150,-134,118,none,cluster190
2242,72,2,-98,86,-490,218,none,cluster5
2243,72,3,86,-490,218,210,none,cluster6
2244,72,4,218,210,-530,82,none,cluster4
2245,72,5,210,-530,82,118,none,cluster3
2246,72,6,82,118,-118,150,none,cluster191
2247,72,7,118,-118,150,-134,none,cluster25
2248,72,8,-118,150,-134,118,none,cluster190
2249,73,2,-98,86,-490,218,none,cluster5
2250,73,3,86,-490,218,210,none,cluster6
2251,73,4,218,210,-530,82,none,cluster4
2252,73,5,210,-530,82,118,none,cluster3
2253,73,6,82,118,-118,150,none,cluster191
2254,73,7,118,-118,150,-134,none,cluster25
2255,73,8,-118,150,-134,118,none,cluster190
2256,74,2,-98,86,-490,218,none,cluster5
2257,74,3,86,-490,218,210,none,cluster6
2258,74,4,218,210,-530,82,none,cluster4
2259,74,5,210,-530,82,118,none,cluster3
2260,74,6,82,118,-118,150,none,cluster191
2261,74,7,118,-118,150,-134,none,cluster25
2262,74,8,-118,150,-134,118,none,cluster190
2263,75,2,-98,86,-490,218,none,cluster5
2264,75,3,86,-490,218,210,none,cluster6
2265,75,4,218,210,-530,82,none,cluster4
2266,75,5,210,-530,82,118,none,cluster3
2267,75,6,82,118,-118,150,none,cluster191
2268,75,7,118,-118,150,-134,none,cluster25
2269,75,8,-118,150,-134,118,none,cluster190
2270,76,2,-98,86,-490,218,none,cluster5
2271,76,3,86,-490,218,210,none,cluster6
2272,76,4,218,210,-530,82,none,cluster4
2273,76,5,210,-530,82,118,none,cluster3
2274,76,6,82,118,-118,150,none,cluster191
2275,76,7,118,-118,150,-102,none,cluster177
2276,76,8,-118,150,-102,134,none,cluster148
2277,76,9,150,-102,134,-118,none,cluster165
2278,76,10,-102,134,-118,150,none,cluster85
2279,76,11,134,-118,150,-102,none,cluster170
2280,76,12,-118,150,-102,118,none,cluster154
2281,76,13,150,-102,118,-206,none,cluster165
2282,76,14,-102,118,-206,118,none,cluster165
2283,77,2,-86,77,-478,-478,none,cluster165
2284,77,3,-478,-478,862,438,none,cluster165
2285,77,4,862,438,-518,238,none,cluster23
2286,77,5,438,-518,238,186,none,cluster22
2287,77,6,238,186,-106,154,none,cluster72
2288,77,7,186,-106,154,-122,none,cluster63
2289,77,8,-106,154,-122,-122,none,cluster134
2290,77,9,-122,-122,154,-122,none,cluster165
2291,77,10,-122,154,-122,154,none,cluster165
2292,77,11,154,-122,154,-122,none,cluster165
2293,77,12,-122,154,-122,170,none,cluster53
2294,77,13,154,-122,170,-122,none,cluster9
2295,77,14,-122,170,-122,170,none,cluster192
2296,77,15,170,-122,170,-122,none,cluster1
2297,77,16,-122,170,-122,170,none,cluster192
2298,77,17,170,-122,170,-122,none,cluster1
2299,77,18,-122,170,-122,170,none,cluster192
2300,77,19,170,-122,170,-122,none,cluster1
2301,77,20,-122,170,-122,170,none,cluster192
2302,77,21,170,-122,170,-122,none,cluster1
2303,77,22,-122,170,-122,170,none,cluster192
2304,77,23,170,-122,170,-122,none,cluster1
2305,77,24,-122,170,-122,170,none,cluster192
2306,77,25,170,-122,170,-122,none,cluster1
2307,77,26,-122,170,-122,170,none,cluster192
2308,77,27,170,-122,170,-122,none,cluster1
2309,77,28,-122,170,-122,170,none,cluster192
2310,77,29,170,-122,170,-122,none,cluster1
2311,77,30,-122,170,-122,170,none,cluster192
2312,77,31,170,-122,170,-122,none,cluster1
2313,77,32,-122,170,-122,170,none,cluster192
2314,77,33,170,-122,170,-122,none,cluster1
2315,77,34,-122,170,-122,170,none,cluster192
2316,77,35,170,-122,170,-122,none,cluster1
2317,77,36,-122,170,-122,170,none,cluster192
2318,77,37,170,-122,170,-122,none,cluster1
2319,77,38,-122,170,-122,170,none,cluster192
2320,77,39,170,-122,170,-122,none,cluster1
2321,77,40,-122,170,-122,170,none,cluster192
2322,77,41,170,-122,170,-122,none,cluster1
2323,77,42,-122,170,-122,170,none,cluster192
2324,77,43,170,-122,170,-122,none,cluster1
2325,77,44,-122,170,-122,170,none,cluster192
2326,77,45,170,-122,170,-122,none,cluster1
2327,77,46,-122,170,-122,170,none,cluster192
2328,77,47,170,-122,170,-122,none,cluster1
2329,77,48,-122,170,-122,170,none,cluster192
2330,77,49,170,-122,170,-122,none,cluster1
2331,77,50,-122,170,-122,170,none,cluster192
2332,77,51,170,-122,170,-122,none,cluster1
2333,77,52,-122,170,-122,170,none,cluster192
2334,77,53,170,-122,170,-122,none,cluster1
2335,77,54,-122,170,-122,186,none,cluster192
2336,77,55,170,-122,186,-122,none,cluster99
2337,78,2,77,-510,862,438,none,cluster24
2338,78,3,862,438,-518,238,none,cluster23
2339,78,4,438,-518,238,186,none,cluster22
2340,78,5,238,186,-106,154,none,cluster72
2341,78,6,186,-106,154,-122,none,cluster63
2342,78,7,-106,154,-122,170,none,cluster44
2343,78,8,154,-122,170,-122,none,cluster9
2344,78,9,-122,170,-122,170,none,cluster192
2345,78,10,170,-122,170,-122,none,cluster1
2346,78,11,-122,170,-122,170,none,cluster192
2347,78,12,170,-122,170,-122,none,cluster1
2348,78,13,-122,170,-122,170,none,cluster192
2349,78,14,170,-122,170,-122,none,cluster1
2350,78,15,-122,170,-122,170,none,cluster192
2351,78,16,170,-122,170,-122,none,cluster1
2352,78,17,-122,170,-122,234,none,cluster29
2353,78,18,170,-122,234,-122,none,cluster81
2354,78,19,-122,234,-122,170,none,cluster43
2355,78,20,234,-122,170,-122,none,cluster10
2356,78,21,-122,170,-122,170,none,cluster192
2357,78,22,170,-122,170,-122,none,cluster1
2358,78,23,-122,170,-122,170,none,cluster192
2359,78,24,170,-122,170,170,none,cluster96
2360,78,25,170,170,-122,170,none,cluster61
2361,78,26,170,-122,170,-122,none,cluster1
2362,78,27,-122,170,-122,170,none,cluster192
2363,78,28,170,-122,170,-122,none,cluster1
2364,78,29,-122,170,-122,170,none,cluster192
2365,78,30,170,-122,170,-122,none,cluster1
2366,78,31,-122,170,-122,170,none,cluster192
2367,78,32,170,-122,170,-122,none,cluster1
2368,78,33,-122,170,-122,234,none,cluster29
2369,78,34,170,-122,234,-122,none,cluster81
2370,78,35,-122,234,-122,170,none,cluster43
2371,78,36,234,-122,170,-122,none,cluster10
2372,78,37,-122,170,-122,234,none,cluster29
2373,78,38,170,-122,234,-122,none,cluster81
2374,78,39,-122,234,-122,170,none,cluster43
2375,78,40,234,-122,170,-122,none,cluster10
2376,78,41,-122,170,-122,170,none,cluster192
2377,78,42,170,-122,170,-122,none,cluster1
2378,78,43,-122,170,-122,170,none,cluster192
2379,78,44,170,-122,170,-122,none,cluster1
2380,78,45,-122,170,-122,170,none,cluster192
2381,78,46,170,-122,170,-122,none,cluster1
2382,78,47,-122,170,-122,234,none,cluster29
2383,78,48,170,-122,234,-122,none,cluster81
2384,78,49,-122,234,-122,-122,'transition point 1',cluster104
2385,79,2,77,-510,862,438,none,cluster24
2386,79,3,862,438,-518,238,none,cluster23
2387,79,4,438,-518,238,186,none,cluster22
2388,79,5,238,186,-106,154,none,cluster72
2389,79,6,186,-106,154,-122,none,cluster63
2390,79,7,-106,154,-122,170,none,cluster44
2391,79,8,154,-122,170,-122,none,cluster9
2392,79,9,-122,170,-122,170,none,cluster192
2393,79,10,170,-122,170,-122,none,cluster1
2394,79,11,-122,170,-122,170,none,cluster192
2395,79,12,170,-122,170,-122,none,cluster1
2396,79,13,-122,170,-122,170,none,cluster192
2397,79,14,170,-122,170,-122,none,cluster1
2398,79,15,-122,170,-122,170,none,cluster192
2399,79,16,170,-122,170,-122,none,cluster1
2400,79,17,-122,170,-122,170,none,cluster192
2401,79,18,170,-122,170,-122,none,cluster1
2402,79,19,-122,170,-122,234,none,cluster29
2403,79,20,170,-122,234,-122,none,cluster81
2404,79,21,-122,234,-122,170,none,cluster43
2405,79,22,234,-122,170,-122,none,cluster10
2406,79,23,-122,170,-122,-122,none,cluster28
2407,79,24,-122,-122,170,-122,none,cluster8
2408,79,25,-122,170,-122,170,none,cluster192
2409,79,26,170,-122,170,170,none,cluster96
2410,79,27,170,170,-122,170,none,cluster61
2411,79,28,170,-122,170,-122,none,cluster1
2412,79,29,-122,170,-122,170,none,cluster192
2413,79,30,170,-122,170,-122,none,cluster1
2414,79,31,-122,170,-122,170,none,cluster192
2415,79,32,170,-122,170,-122,none,cluster1
2416,79,33,-122,170,-122,170,none,cluster192
2417,79,34,170,-122,170,-122,none,cluster1
2418,79,35,-122,170,-122,170,none,cluster192
2419,79,36,170,-122,170,-122,none,cluster1
2420,79,37,-122,170,-122,170,none,cluster192
2421,79,38,170,-122,170,-122,none,cluster1
2422,79,39,-122,170,-122,-122,none,cluster28
2423,79,40,-122,-122,170,170,none,cluster165
2424,79,41,170,170,-122,170,none,cluster61
2425,79,42,170,-122,170,-122,none,cluster1
2426,79,43,-122,170,-122,170,none,cluster192
2427,79,44,170,-122,170,-122,none,cluster1
2428,79,45,-122,170,-122,-122,none,cluster28
2429,79,46,-122,-122,170,-122,none,cluster8
2430,79,47,-122,170,-122,170,none,cluster192
2431,79,48,170,-122,170,-122,none,cluster1
2432,79,49,-122,170,-122,170,none,cluster192
2433,79,50,170,-122,170,-122,none,cluster1
2434,79,51,-122,170,-122,-122,'transition point 1',cluster28
2435,80,2,77,-510,862,438,none,cluster24
2436,80,3,862,438,-518,238,none,cluster23
2437,80,4,438,-518,238,186,none,cluster22
2438,80,5,238,186,-106,154,none,cluster72
2439,80,6,186,-106,154,-122,none,cluster63
2440,80,7,-106,154,-122,170,none,cluster44
2441,80,8,154,-122,170,-122,none,cluster9
2442,80,9,-122,170,-122,170,none,cluster192
2443,80,10,170,-122,170,-122,none,cluster1
2444,80,11,-122,170,-122,170,none,cluster192
2445,80,12,170,-122,170,-122,none,cluster1
2446,80,13,-122,170,-122,170,none,cluster192
2447,80,14,170,-122,170,-122,none,cluster1
2448,80,15,-122,170,-122,170,none,cluster192
2449,80,16,170,-122,170,-122,none,cluster1
2450,80,17,-122,170,-122,170,none,cluster192
2451,80,18,170,-122,170,-122,none,cluster1
2452,80,19,-122,170,-122,170,none,cluster192
2453,80,20,170,-122,170,-122,none,cluster1
2454,80,21,-122,170,-122,170,none,cluster192
2455,80,22,170,-122,170,-122,none,cluster1
2456,80,23,-122,170,-122,170,none,cluster192
2457,80,24,170,-122,170,-122,none,cluster1
2458,80,25,-122,170,-122,-122,none,cluster28
2459,80,26,-122,-122,170,-122,none,cluster8
2460,80,27,-122,170,-122,170,none,cluster192
2461,80,28,170,-122,170,-122,none,cluster1
2462,80,29,-122,170,-122,170,none,cluster192
2463,80,30,170,-122,170,-122,none,cluster1
2464,80,31,-122,170,-122,170,none,cluster192
2465,80,32,170,-122,170,-122,none,cluster1
2466,80,33,-122,170,-122,170,none,cluster192
2467,80,34,170,-122,170,-122,none,cluster1
2468,80,35,-122,170,-122,170,none,cluster192
2469,80,36,170,-122,170,-122,none,cluster1
2470,80,37,-122,170,-122,-122,none,cluster28
2471,80,38,-122,-122,170,-122,none,cluster8
2472,81,2,77,-510,862,438,none,cluster24
2473,81,3,862,438,-518,-518,none,cluster139
2474,81,4,-518,-518,238,370,none,cluster165
2475,81,5,238,370,-106,-106,none,cluster165
2476,81,6,-106,-106,154,-122,none,cluster127
2477,81,7,-106,154,-122,170,none,cluster44
2478,81,8,154,-122,170,-122,none,cluster9
2479,81,9,-122,170,-122,-122,none,cluster28
2480,81,10,-122,-122,170,-122,none,cluster8
2481,81,11,-122,170,-122,170,none,cluster192
2482,81,12,170,-122,170,-122,none,cluster1
2483,81,13,-122,170,-122,170,none,cluster192
2484,81,14,170,-122,170,-122,none,cluster1
2485,81,15,-122,170,-122,170,none,cluster192
2486,81,16,170,-122,170,-122,none,cluster1
2487,81,17,-122,170,-122,-122,none,cluster28
2488,81,18,-122,-122,170,-122,none,cluster8
2489,82,2,-86,77,-478,862,none,cluster132
2490,82,3,77,-478,862,438,none,cluster157
2491,82,4,862,438,-518,238,none,cluster23
2492,82,5,438,-518,238,186,none,cluster22
2493,82,6,238,186,-106,154,none,cluster72
2494,82,7,186,-106,154,-122,none,cluster63
2495,82,8,-106,154,-122,170,none,cluster44
2496,82,9,154,-122,170,-122,none,cluster9
2497,82,10,-122,170,-122,170,none,cluster192
2498,82,11,170,-122,170,-122,none,cluster1
2499,82,12,-122,170,-122,170,none,cluster192
2500,82,13,170,-122,170,-122,none,cluster1
2501,82,14,-122,170,-122,170,none,cluster192
2502,82,15,170,-122,170,-122,none,cluster1
2503,82,16,-122,170,-122,170,none,cluster192
2504,82,17,170,-122,170,-122,none,cluster1
2505,82,18,-122,170,-122,170,none,cluster192
2506,82,19,170,-122,170,-122,none,cluster1
2507,82,20,-122,170,-122,170,none,cluster192
2508,82,21,170,-122,170,-122,none,cluster1
2509,82,22,-122,170,-122,170,none,cluster192
2510,82,23,170,-122,170,-122,none,cluster1
2511,82,24,-122,170,-122,170,none,cluster192
2512,82,25,170,-122,170,-122,none,cluster1
2513,82,26,-122,170,-122,170,none,cluster192
2514,82,27,170,-122,170,-122,none,cluster1
2515,82,28,-122,170,-122,170,none,cluster192
2516,82,29,170,-122,170,-122,none,cluster1
2517,82,30,-122,170,-122,170,none,cluster192
2518,82,31,170,-122,170,-122,none,cluster1
2519,82,32,-122,170,-122,170,none,cluster192
2520,82,33,170,-122,170,-122,none,cluster1
2521,82,34,-122,170,-122,170,none,cluster192
2522,82,35,170,-122,170,-122,none,cluster1
2523,82,36,-122,170,-122,170,none,cluster192
2524,82,37,170,-122,170,-122,none,cluster1
2525,82,38,-122,170,-122,170,none,cluster192
2526,82,39,170,-122,170,-122,none,cluster1
2527,82,40,-122,170,-122,170,none,cluster192
2528,82,41,170,-122,170,-122,none,cluster1
2529,82,42,-122,170,-122,170,none,cluster192
2530,82,43,170,-122,170,-122,none,cluster1
2531,82,44,-122,170,-122,170,none,cluster192
2532,82,45,170,-122,170,-122,none,cluster1
2533,82,46,-122,170,-122,170,none,cluster192
2534,82,47,170,-122,170,-122,none,cluster1
2535,82,48,-122,170,-122,186,none,cluster192
2536,82,49,170,-122,186,-122,none,cluster99
2537,83,2,77,-510,862,438,none,cluster24
2538,83,3,862,438,-518,238,none,cluster23
2539,83,4,438,-518,238,186,none,cluster22
2540,83,5,238,186,-106,154,none,cluster72
2541,83,6,186,-106,154,-122,none,cluster63
2542,83,7,-106,154,-122,170,none,cluster44
2543,83,8,154,-122,170,-122,none,cluster9
2544,83,9,-122,170,-122,170,none,cluster192
2545,83,10,170,-122,170,-122,none,cluster1
2546,83,11,-122,170,-122,170,none,cluster192
2547,83,12,170,-122,170,-122,none,cluster1
2548,83,13,-122,170,-122,170,none,cluster192
2549,83,14,170,-122,170,-122,none,cluster1
2550,83,15,-122,170,-122,170,none,cluster192
2551,83,16,170,-122,170,-122,none,cluster1
2552,83,17,-122,170,-122,170,none,cluster192
2553,83,18,170,-122,170,-122,none,cluster1
2554,83,19,-122,170,-122,170,none,cluster192
2555,83,20,170,-122,170,-122,none,cluster1
2556,83,21,-122,170,-122,170,none,cluster192
2557,83,22,170,-122,170,-122,none,cluster1
2558,83,23,-122,170,-122,170,none,cluster192
2559,83,24,170,-122,170,-122,none,cluster1
2560,83,25,-122,170,-122,170,none,cluster192
2561,83,26,170,-122,170,-122,none,cluster1
2562,83,27,-122,170,-122,170,none,cluster192
2563,83,28,170,-122,170,-122,none,cluster1
2564,83,29,-122,170,-122,234,none,cluster29
2565,83,30,170,-122,234,-122,none,cluster81
2566,83,31,-122,234,-122,170,none,cluster43
2567,83,32,234,-122,170,-122,none,cluster10
2568,83,33,-122,170,-122,170,none,cluster192
2569,83,34,170,-122,170,-122,none,cluster1
2570,83,35,-122,170,-122,170,none,cluster192
2571,83,36,170,-122,170,-122,none,cluster1
2572,83,37,-122,170,-122,170,none,cluster192
2573,83,38,170,-122,170,-122,none,cluster1
