4,False,111.93.5.203,95.0.212.205,22,54399,2014-08-05 07:09:33.903736,98,0,3
6,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:34.075274,86,0,3
8,False,111.93.5.203,95.0.212.205,22,54399,2014-08-05 07:09:34.076003,490,0,3
9,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:34.249437,218,0,3
11,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:34.458196,210,0,3
13,False,111.93.5.203,95.0.212.205,22,54399,2014-08-05 07:09:34.523918,530,0,3
14,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:34.697161,82,1,3
16,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:34.868632,118,0,3
18,False,111.93.5.203,95.0.212.205,22,54399,2014-08-05 07:09:34.869618,118,0,3
19,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:35.042205,166,0,3
21,False,111.93.5.203,95.0.212.205,22,54399,2014-08-05 07:09:36.046010,134,0,3
22,True,95.0.212.205,111.93.5.203,54399,22,2014-08-05 07:09:36.219133,118,0,3
