4,False,111.93.5.203,211.140.18.58,22,59076,2014-08-04 07:37:37.277770,98,0,3
6,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:37.411706,86,0,3
8,False,111.93.5.203,211.140.18.58,22,59076,2014-08-04 07:37:37.412401,490,0,3
9,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:37.544372,218,0,3
11,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:37.729456,210,0,3
13,False,111.93.5.203,211.140.18.58,22,59076,2014-08-04 07:37:37.794883,530,0,3
14,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:37.956319,82,1,3
16,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:38.089556,118,0,3
18,False,111.93.5.203,211.140.18.58,22,59076,2014-08-04 07:37:38.090499,118,0,3
19,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:38.204007,150,0,3
21,False,111.93.5.203,211.140.18.58,22,59076,2014-08-04 07:37:39.207840,134,0,3
22,True,211.140.18.58,111.93.5.203,59076,22,2014-08-04 07:37:39.370562,118,0,3
