4,False,111.93.5.203,112.21.198.28,22,41104,2014-08-09 19:34:40.174208,98,0,0
6,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:40.356709,86,0,0
8,False,111.93.5.203,112.21.198.28,22,41104,2014-08-09 19:34:40.357414,490,0,0
9,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:40.556036,218,0,0
11,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:40.784582,210,0,0
13,False,111.93.5.203,112.21.198.28,22,41104,2014-08-09 19:34:40.849942,530,0,0
14,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:41.036886,82,1,0
16,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:41.214757,118,0,1
18,False,111.93.5.203,112.21.198.28,22,41104,2014-08-09 19:34:41.215713,118,0,0
19,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:41.392048,150,0,1
21,False,111.93.5.203,112.21.198.28,22,41104,2014-08-09 19:34:42.395880,134,0,0
22,True,112.21.198.28,111.93.5.203,41104,22,2014-08-09 19:34:42.577600,118,0,1
