4,True,109.168.106.32,111.93.5.203,32821,22,2014-08-15 01:28:17.740366,89,0,0
6,False,111.93.5.203,109.168.106.32,22,32821,2014-08-15 01:28:17.742344,522,0,0
8,True,109.168.106.32,111.93.5.203,32821,22,2014-08-15 01:28:17.887335,714,0,0
10,True,109.168.106.32,111.93.5.203,32821,22,2014-08-15 01:28:18.071668,210,0,0
12,False,111.93.5.203,109.168.106.32,22,32821,2014-08-15 01:28:18.137403,530,0,0
13,True,109.168.106.32,111.93.5.203,32821,22,2014-08-15 01:28:18.288216,82,1,0
15,True,109.168.106.32,111.93.5.203,32821,22,2014-08-15 01:28:18.433754,118,0,0
17,False,111.93.5.203,109.168.106.32,22,32821,2014-08-15 01:28:18.434771,118,0,1
18,True,109.168.106.32,111.93.5.203,32821,22,2014-08-15 01:28:18.580292,150,0,0
20,False,111.93.5.203,109.168.106.32,22,32821,2014-08-15 01:28:19.584181,134,0,0
