4,False,111.93.5.203,185.53.168.9,22,46792,2014-08-11 10:36:31.956592,98,0,2
5,True,185.53.168.9,111.93.5.203,46792,22,2014-08-11 10:36:31.957791,89,0,2
8,False,111.93.5.203,185.53.168.9,22,46792,2014-08-11 10:36:32.153229,490,0,2
9,True,185.53.168.9,111.93.5.203,46792,22,2014-08-11 10:36:32.154309,714,0,2
11,True,185.53.168.9,111.93.5.203,46792,22,2014-08-11 10:36:32.351118,210,0,2
13,False,111.93.5.203,185.53.168.9,22,46792,2014-08-11 10:36:32.416961,530,0,2
14,True,185.53.168.9,111.93.5.203,46792,22,2014-08-11 10:36:32.622475,82,1,2
16,True,185.53.168.9,111.93.5.203,46792,22,2014-08-11 10:36:32.824821,118,0,2
18,False,111.93.5.203,185.53.168.9,22,46792,2014-08-11 10:36:32.825786,118,0,2
19,True,185.53.168.9,111.93.5.203,46792,22,2014-08-11 10:36:33.024737,150,0,2
21,False,111.93.5.203,185.53.168.9,22,46792,2014-08-11 10:36:34.028645,134,0,2
