4,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:17.125470,77,0,0
6,False,111.93.5.203,60.173.10.142,22,4737,2014-08-07 00:31:17.127084,510,0,0
7,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:17.517238,862,0,0
9,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:17.946138,438,0,0
11,False,111.93.5.203,60.173.10.142,22,4737,2014-08-07 00:31:18.013743,518,0,0
12,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:18.403810,238,1,0
14,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:18.793167,186,0,1
16,False,111.93.5.203,60.173.10.142,22,4737,2014-08-07 00:31:18.794119,106,0,0
17,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:19.183672,170,0,1
19,False,111.93.5.203,60.173.10.142,22,4737,2014-08-07 00:31:20.187523,122,0,0
20,True,60.173.10.142,111.93.5.203,4737,22,2014-08-07 00:31:20.576614,154,0,1
