4,False,111.93.5.203,1.93.33.2,22,33195,2014-08-11 18:04:46.211170,98
6,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:46.608187,86
8,False,111.93.5.203,1.93.33.2,22,33195,2014-08-11 18:04:46.608967,490
9,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:47.020073,218
11,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:48.217176,218
13,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:48.618705,210
15,False,111.93.5.203,1.93.33.2,22,33195,2014-08-11 18:04:48.684237,530
16,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:49.096005,82
18,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:49.510263,118
20,False,111.93.5.203,1.93.33.2,22,33195,2014-08-11 18:04:49.511161,150
22,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:50.473649,118
24,False,111.93.5.203,1.93.33.2,22,33195,2014-08-11 18:04:50.566763,150
25,True,1.93.33.2,111.93.5.203,33195,22,2014-08-11 18:04:50.971499,118
