4,False,111.93.5.203,1.93.33.2,22,33313,2014-08-11 18:04:51.373538,98
6,True,1.93.33.2,111.93.5.203,33313,22,2014-08-11 18:04:51.773900,86
8,False,111.93.5.203,1.93.33.2,22,33313,2014-08-11 18:04:51.774590,490
9,True,1.93.33.2,111.93.5.203,33313,22,2014-08-11 18:04:52.190768,218
11,True,1.93.33.2,111.93.5.203,33313,22,2014-08-11 18:04:52.635996,210
13,False,111.93.5.203,1.93.33.2,22,33313,2014-08-11 18:04:52.701431,530
14,True,1.93.33.2,111.93.5.203,33313,22,2014-08-11 18:04:53.112881,82
16,True,1.93.33.2,111.93.5.203,33313,22,2014-08-11 18:04:53.510346,118
18,False,111.93.5.203,1.93.33.2,22,33313,2014-08-11 18:04:53.511235,150
20,True,1.93.33.2,111.93.5.203,33313,22,2014-08-11 18:04:53.909368,118
